user_id,item_id,rating,timestamp,user_id_enc,item_id_enc
AHJRJCJMK3XVV4BSPBRAHIYEODWA,B001EYUQ8C,5.0,1187713498000,2601,10
AGOGNP43RCNDGF6DZVYZR3FXV46A,B001EYUQ8C,5.0,1187737428000,1943,10
AGKOL2ISXEZE6EIPP5VIINFIHGLQ,B001EYUQ8C,1.0,1187951271000,1864,10
AHZK3IXTLWMYR6NLPBWXRI3DKQIQ,B001EYUQ8C,5.0,1188297307000,2948,10
AFUGVRGJG3RYWKPI3LYLSWMUEB2Q,B001EYUQ8C,5.0,1189094970000,1353,10
AHJRJCJMK3XVV4BSPBRAHIYEODWA,B001ELJE88,5.0,1190693948000,2601,8
AGYLTJ5RZO4JYTMFBBGR2KCXH3ZA,B001ELJE88,5.0,1190823618000,2176,8
AG2BDIA5FA3MRHDDXCFT3UZIBRHQ,B001ELJE88,4.0,1190834049000,1468,8
AE2QBAXR7G5K7PVOF46ETSLJ2W4A,B001ELJE88,3.0,1190972059000,16,8
AEURBISVS35ALE7YQLR5L4K7AHCA,B001ELJE88,1.0,1190991917000,632,8
AENXZD44UOSYG4PDHOQM5KC2HOLA,B001ELJE88,1.0,1191107337000,470,8
AHKULLRBPBIB4NRBWC5PD5BUUDLA,B001ELJE88,3.0,1191166613000,2636,8
AGOGNP43RCNDGF6DZVYZR3FXV46A,B001ELJE88,4.0,1191232517000,1943,8
AEOX2KIYL3C22JLTXP4KTZ4EW66A,B001ELJE88,5.0,1191511225000,499,8
AEFJNOB2BIMMXHVX6GH3XUA6DONA,B001ELJE88,4.0,1191855567000,259,8
AE6XIJ662ZIDML7BIWA2IMXXDUFA,B001ELJE88,5.0,1192016139000,97,8
AFRIRHQJMBFWA3M4ERKWAH2OIEHA,B001ELJE88,5.0,1192346002000,1297,8
AH7XO376URXXCSK332KEPQOX4CKA,B001EYUQ8C,5.0,1192570467000,2358,10
AFIQXBAG7BJZLPX2RBXHDXGVWTOA,B001ELJE88,3.0,1192839923000,1081,8
AGKOL2ISXEZE6EIPP5VIINFIHGLQ,B001EYUQTQ,5.0,1194278661000,1864,13
AETZ2533YDQVI5L7IFIWNQFP2SJA,B001EYUQTQ,5.0,1194418481000,623,13
AETZ2533YDQVI5L7IFIWNQFP2SJA,B001EYUQTQ,5.0,1194418605000,623,13
AETZ2533YDQVI5L7IFIWNQFP2SJA,B001EYUQTQ,5.0,1194418677000,623,13
AETZ2533YDQVI5L7IFIWNQFP2SJA,B001EYUQTQ,5.0,1194418748000,623,13
AE6G247MWULSLVDSLPJHRLEE7GYQ,B001EYUQTQ,3.0,1194733577000,85,13
AETZ2533YDQVI5L7IFIWNQFP2SJA,B000UW21A0,5.0,1195543114000,623,3
AE5OICRCOOMUX5DDSRF45EKAYJNA,B07YBX5FVF,3.0,1195569773000,69,221
AGYLTJ5RZO4JYTMFBBGR2KCXH3ZA,B001EYUQTQ,5.0,1195571795000,2176,13
AEFJNOB2BIMMXHVX6GH3XUA6DONA,B000UW21A0,5.0,1196067685000,259,3
AGKCZ4A6AS25M25EDHHJ2BSLSTJQ,B000UW21A0,5.0,1196098065000,1857,3
AFIQXBAG7BJZLPX2RBXHDXGVWTOA,B000UW21A0,5.0,1196131975000,1081,3
AHIFUW2UV6QEKWFN4X45VYLCZWAA,B001EYUQTQ,4.0,1196668179000,2573,13
AFGDOWXYBXW46W56NEVSOPWFKLWA,B001ELJE88,4.0,1197034579000,1037,8
AE7UTZRFZD6YQGAEXKC7B5S4YMIA,B001EYUQTQ,5.0,1198149932000,121,13
AFFMT53Q3STCYQNANS4QCP7VEE5Q,B001EYUQTQ,5.0,1198190775000,1014,13
AGN55ULJEI5QTOAVF2YM67YT6NXA,B001EYUQTQ,5.0,1198216592000,1910,13
AGKCZ4A6AS25M25EDHHJ2BSLSTJQ,B001EYUQTQ,5.0,1198513924000,1857,13
AG2BDIA5FA3MRHDDXCFT3UZIBRHQ,B001EYUQTQ,5.0,1198521299000,1468,13
AGOGNP43RCNDGF6DZVYZR3FXV46A,B001EYUQTQ,4.0,1199095139000,1943,13
AFGDOWXYBXW46W56NEVSOPWFKLWA,B001EYUQ8C,5.0,1199194755000,1037,10
AEDZDDJ72FW2KTJ6PRY3HXOZQPSQ,B001EYUQTQ,3.0,1199665726000,222,13
AEHOFUNZP6VT74RUDDCJ2VVIT56A,B07YBX5FVF,5.0,1200399289000,324,221
AE6G247MWULSLVDSLPJHRLEE7GYQ,B001EYUQ8C,5.0,1201051157000,85,10
AELH633VV4DUZPRI7XHLFISZMYFQ,B07YBX5FVF,5.0,1201239969000,416,221
AFMHPU7AWHOUTGKN7CSN4PGMMROQ,B001ELJE88,4.0,1203294001000,1177,8
AHBTWMXLGHE7HQKVQT6FJPLR6F5Q,B000UW21A0,5.0,1203498704000,2408,3
AGOUK4MLTQPNP4CZC5FUL5VQBIPQ,B000UW21A0,5.0,1206246338000,1951,3
AHBITYD7YYHC4GBTV3TA37X6IKPA,B000UW21A0,5.0,1206661391000,2399,3
AE7UTZRFZD6YQGAEXKC7B5S4YMIA,B000UW21A0,5.0,1207694036000,121,3
AHBTWMXLGHE7HQKVQT6FJPLR6F5Q,B0015AARJI,5.0,1208365667000,2408,4
AGOCDOHF3BS727GRRGKRJ4ASPU3Q,B0015AARJI,5.0,1208730890000,1940,4
AEOX2KIYL3C22JLTXP4KTZ4EW66A,B001EYUQTQ,5.0,1209072588000,499,13
AG2BDIA5FA3MRHDDXCFT3UZIBRHQ,B001D8Q5MA,5.0,1209489403000,1468,5
AEAFWJHDBBFU7C6SVTGN5NB4B54Q,B001D8Q5MA,5.0,1209596983000,136,5
AEQMTSUIXROT5EZWDH4PU43RZ6GQ,B001D8Q5MA,5.0,1209598391000,548,5
AHBTWMXLGHE7HQKVQT6FJPLR6F5Q,B001D8Q5MA,3.0,1209618344000,2408,5
AGOCDOHF3BS727GRRGKRJ4ASPU3Q,B001D8Q5MA,5.0,1209672153000,1940,5
AGRBRL2U46HIDKDOKCDG5QVVW3LA,B001D8Q5MA,4.0,1209698912000,2010,5
AFMHPU7AWHOUTGKN7CSN4PGMMROQ,B001D8Q5MA,5.0,1209745722000,1177,5
AFITYQFGPOG66COXYGT3YESRCJ2Q,B001D8Q5MA,4.0,1209819915000,1085,5
AETZ2533YDQVI5L7IFIWNQFP2SJA,B001D8Q5MA,5.0,1209836664000,623,5
AETZ2533YDQVI5L7IFIWNQFP2SJA,B001D8Q5MA,5.0,1209836930000,623,5
AETZ2533YDQVI5L7IFIWNQFP2SJA,B001D8Q5MA,5.0,1209836985000,623,5
AETZ2533YDQVI5L7IFIWNQFP2SJA,B001D8Q5MA,5.0,1209837048000,623,5
AGOCDOHF3BS727GRRGKRJ4ASPU3Q,B001D8Q5MA,5.0,1209865413000,1940,5
AE7UTZRFZD6YQGAEXKC7B5S4YMIA,B001D8Q5MA,5.0,1209959191000,121,5
AGPTHTWQIFVAZLBJAQIKZMRHA7BA,B001D8Q5MA,4.0,1210479322000,1971,5
AGJREA6HUQ24HW2UPRZEWMB64TAA,B001EYUQTQ,5.0,1210702003000,1847,13
AGUS6AXPBPARJMLAEE4WYZAKLXDA,B001EYUQTQ,5.0,1210889559000,2083,13
